2015-07-15 14:09:46  INFO 000018648 main                     | eucanetd started
2015-07-15 14:09:46 DEBUG 000018648 eucanetd_read_config     | reading configuration
2015-07-15 14:09:46 DEBUG 000018648 eucanetd_read_config     | found global_network_info.xml state file: setting source URI to 'file:////var/run/eucalyptus/global_network_info.xml'
2015-07-15 14:09:46  INFO 000018648 atomic_file_get          | update triggered due to file update (//var/run/eucalyptus/eucanetd_global_network_info.xml)
2015-07-15 14:09:46 DEBUG 000018648 atomic_file_get          | source and destination file contents have become different, triggering update of dest (//var/run/eucalyptus/eucanetd_global_network_info.xml)
2015-07-15 14:09:46 DEBUG 000018648 atomic_file_get          | renaming file //var/run/eucalyptus/eucanetd_global_network_info.xml-s9OiGr -> //var/run/eucalyptus/eucanetd_global_network_info.xml
2015-07-15 14:09:46 DEBUG 000018648 gni_populate             | begin parsing XML into data structures
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 7 results after evaluated expression /network-data/instances/instance
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 0: i-079ced10
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 1: i-17e59e31
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 2: i-3d031c1d
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 3: i-5f52d793
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 4: i-8923b823
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 5: i-b46f7aa6
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_element   | 	RESULT 6: i-dd777f97
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: i-079ced10
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 1: i-17e59e31
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 2: i-3d031c1d
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 3: i-5f52d793
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 4: i-8923b823
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 5: i-b46f7aa6
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 6: i-dd777f97
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/ownerId
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: 000728775049
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: 000728775049
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/macAddress
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: d0:0d:5c:46:89:69
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: d0:0d:5c:46:89:69
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/publicIp
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: 10.116.150.191
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: 10.116.150.191
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/privateIp
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: 172.31.17.82
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: 172.31.17.82
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/vpc
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: vpc-ded2d7ef
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: vpc-ded2d7ef
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/subnet
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: subnet-be6ee946
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: subnet-be6ee946
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-079ced10']/securityGroups/value
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 	RESULT 0: sg-0e6a762d
2015-07-15 14:09:46 TRACE 000018648 gni_populate             | after function: 0: sg-0e6a762d
2015-07-15 14:09:46 TRACE 000018648 evaluate_xpath_property  | 1 results after evaluated expression /network-data/instances/instance[@name='i-17e59e31']/ownerId
